Category,Name,Description
h,RT,Record Type
h,SERIALNO,Housing unit/GQ person serial number
h,DIVISION,Division code
h,PUMA,Public use microdata area code (PUMA) based on 2010 Census definition
h,REGION,Region code
h,ST,State Code
h,ADJHSG,Adjustment factor for housing dollar amounts (6 implied decimal places)
h,ADJINC,Adjustment factor for income and earnings dollar amounts(6 implied decimal places)
h,WGTP,Housing Weight
h,NP,Number of person records following this housing record
h,TYPE,Type of unit
h,ACCESS,Access to the Internet
h,ACR,Lot size
h,AGS,Sales of Agriculture Products (Yearly sales)
h,BATH,Bathtub or shower
h,BDSP,Number of bedrooms
h,BLD,Units in structure
h,BROADBND,Mobile broadband plan
h,BUS,Business or medical office on property
h,COMPOTHX,Other computer equipment
h,CONP,Condo fee (monthly amount)
h,DIALUP,Dial-up service
h,DSL,DSL service
h,ELEP,Electricity (monthly cost)
h,FIBEROP,Fiber-optic Internet service
h,FS,Yearly food stamp/Supplemental Nutrition Assistance Program recipiency
h,FULP,Fuel cost(yearly cost for fuels other than gas and electricity)
h,GASP,Gas (monthly cost)
h,HANDHELD,Handheld computer
h,HFL,House heating fuel
h,INSP,Fire/hazard/flood insurance (yearly amount)
h,LAPTOP,"Laptop, desktop, or notebook computer"
h,MHP,Mobile home costs (yearly amount)
h,MODEM,Cable Internet service
h,MRGI,First mortgage payment includes fire/hazard/flood insurance
h,MRGP,First mortgage payment (monthly amount)
h,MRGT,First mortgage payment includes real estate taxes
h,MRGX,First mortgage status
h,OTHSVCEX,Other Internet service
h,REFR,Refrigerator
h,RMSP,Number of Rooms
h,RNTM,Meals included in rent
h,RNTP,Monthly rent
h,RWAT,Hot and cold running water
h,RWATPR,Running water
h,SATELLITE,Satellite Internet service
h,SINK,Sink with a faucet
h,SMP,Total payment on all second and junior mortgages and home equity loans (monthly amount)
h,STOV,Stove or range
h,TEL,Telephone
h,TEN,Tenure
h,TOIL,Flush toilet
h,VACS,Vacancy status
h,VALP,Property value
h,VEH,Vehicles (1 ton or less) available
h,WATP,Water (yearly cost)
h,YBL,When structure first built
h,FES,Family type and employment status
h,FINCP,Family income (past 12 months)
h,FPARC,Family presence and age of related children
h,GRNTP,Gross rent (monthly amount)
h,GRPIP,Gross rent as a percentage of household income past 12 months
h,HHL,Household language
h,HHT,Household/family type
h,HINCP,Household income (past 12 months)
h,HOTWAT,Water heater (Puerto Rico only)
h,HUGCL,Household with grandparent living with grandchildren
h,HUPAC,HH presence and age of children
h,HUPAOC,HH presence and age of own children
h,HUPARC,HH presence and age of related children
h,KIT,Complete kitchen facilities
h,LNGI,Limited English speaking household
h,MULTG,Multigenerational Household
h,MV,When moved into this house or apartment
h,NOC,Number of own children in household (unweighted)
h,NPF,Number of persons in family (unweighted)
h,NPP,Grandparent headed household with no parent present
h,NR,Presence of nonrelative in household
h,NRC,Number of related children in household (unweighted)
h,OCPIP,Selected monthly owner costs as a percentage of household income during the past 12 months
h,PARTNER,Unmarried partner household
h,PLM,Complete plumbing facilities
h,PLMPRP,Complete plumbing facilities for Puerto Rico
h,PSF,Presence of subfamilies in Household
h,R18,Presence of persons under 18 years in household (unweighted)
h,R60,Presence of persons 60 years and over in household (unweighted)
h,R65,Presence of persons 65 years and over in household (unweighted)
h,RESMODE,Response mode
h,SMOCP,Selected monthly owner costs
h,SMX,Second or junior mortgage or home equity loan status
h,SRNT,Specified rent unit
h,SSMC,Same-sex married couple households
h,SVAL,Specified value owner unit
h,TAXP,Property taxes (yearly amount)
h,WIF,Workers in family during the past 12 months
h,WKEXREL,Work experience of householder and spouse
h,WORKSTAT,Work status of householder or spouse in family households
h,FACCESSP,Access to the Internet allocation flag
h,FACRP,Lot size allocation flag
